galaxy,model,chi2,dof,chi2_red,Yd,Yb,n_data,has_bulge
UGC06917,Holographic,8.7817,10,0.8782,0.6268,0.0000,11,False
UGC06923,Holographic,4.1689,5,0.8338,0.3792,0.0000,6,False
UGC06930,Holographic,14.2811,9,1.5868,0.4463,0.0000,10,False
UGC06973,Holographic,52.4469,7,7.4924,0.3623,0.0100,9,True
UGC06983,Holographic,15.5175,16,0.9698,0.8349,0.0000,17,False
UGC07089,Holographic,1.6367,11,0.1488,0.1669,0.0000,12,False
UGC07125,Holographic,458.7510,12,38.2292,0.0100,0.0000,13,False
UGC07151,Holographic,20.7709,10,2.0771,0.4663,0.0000,11,False
UGC07261,Holographic,3.8798,6,0.6466,0.5594,0.0000,7,False
UGC07323,Holographic,3.1428,9,0.3492,0.3180,0.0000,10,False
UGC07399,Holographic,37.8556,9,4.2062,2.3474,0.0000,10,False
UGC07524,Holographic,65.6977,30,2.1899,0.4283,0.0000,31,False
UGC07559,Holographic,9.7862,6,1.6310,0.0100,0.0000,7,False
UGC07577,Holographic,45.7640,8,5.7205,0.0100,0.0000,9,False
UGC07603,Holographic,37.1443,11,3.3768,0.9116,0.0000,12,False
UGC07608,Holographic,3.9719,7,0.5674,1.6465,0.0000,8,False
UGC07690,Holographic,9.2825,6,1.5471,0.4543,0.0000,7,False
UGC07866,Holographic,4.6307,6,0.7718,0.0857,0.0000,7,False
UGC08286,Holographic,17.9824,16,1.1239,1.2292,0.0000,17,False
UGC08490,Holographic,7.0514,29,0.2432,1.1512,0.0000,30,False
UGC08550,Holographic,7.1110,10,0.7111,0.7851,0.0000,11,False
UGC08699,Holographic,13.3846,39,0.3432,0.7989,0.6123,41,True
UGC08837,Holographic,28.3742,7,4.0535,0.0348,0.0000,8,False
UGC09037,Holographic,28.4540,21,1.3550,0.1805,0.0000,22,False
UGC09133,Holographic,78.4871,66,1.1892,0.4776,0.7205,68,True
UGC09992,Holographic,11.3765,4,2.8441,0.0100,0.0000,5,False
UGC10310,Holographic,11.9394,6,1.9899,0.4493,0.0000,7,False
UGC11455,Holographic,129.7123,35,3.7061,0.4445,0.0000,36,False
UGC11557,Holographic,13.0127,11,1.1830,0.0920,0.0000,12,False
UGC11820,Holographic,32.0314,9,3.5590,0.4037,0.0000,10,False
UGC11914,Holographic,15.6318,63,0.2481,0.6998,0.9554,65,True
UGC12506,Holographic,69.5075,30,2.3169,0.9565,0.0000,31,False
UGC12632,Holographic,52.6376,14,3.7598,0.5171,0.0000,15,False
UGC12732,Holographic,20.5580,15,1.3705,0.7246,0.0000,16,False
UGCA281,Holographic,0.5225,6,0.0871,0.3041,0.0000,7,False
UGCA442,Holographic,11.2470,7,1.6067,0.1860,0.0000,8,False
UGCA444,Holographic,45.2316,35,1.2923,0.0100,0.0000,36,False
CamB,MOND_simple,190.0848,8,23.7606,0.0100,0.0000,9,False
D564-8,MOND_simple,15.4129,5,3.0826,0.0100,0.0000,6,False
D631-7,MOND_simple,177.8509,15,11.8567,0.0100,0.0000,16,False
DDO064,MOND_simple,4.1979,13,0.3229,0.3752,0.0000,14,False
DDO154,MOND_simple,6.6783,11,0.6071,0.0100,0.0000,12,False
DDO161,MOND_simple,660.9425,30,22.0314,0.0100,0.0000,31,False
DDO168,MOND_simple,75.0876,9,8.3431,0.0100,0.0000,10,False
DDO170,MOND_simple,99.1482,7,14.1640,0.0100,0.0000,8,False
ESO079-G014,MOND_simple,35.4519,14,2.5323,0.5532,0.0000,15,False
ESO116-G012,MOND_simple,33.4716,14,2.3908,0.6234,0.0000,15,False
